id;region_name;logistics_center_name;longitude;dimension;creation_by;creation_date;last_modified_by;last_modify_time;last_modified_date;available
11;北京;京南物流中心;116.422469;39.723691;;;;;;1
12;天津;天津物流中心;117.423943;38.906796;;;;;;1
13;重庆市;重庆物流中心;106.304689;29.322792;;;;;;1
14;陕西省;陕西物流中心;108.986021;34.42051;;;;;;1
15;山东省;山东物流中心;117.166948;36.997289;;;;;;1
16;河南省;河南物流中心;113.690156;34.591949;;;;;;1
17;四川省;四川物流中心;103.987111;30.497697;;;;;;1
18;山西省;山西物流中心;112.734116;38.096099;;;;;;1
19;江苏省;江苏物流中心;118.801118;31.782219;;;;;;1
20;北京;京北物流中心;116.736456;40.202348;;;;;;0
